"“Procesu reģistrs vairs nav uzdevumu katalogs.
Tas ir vadības instruments, kas rāda, kā iestāde rada vērtību.”",,"Uzdevumi - KO iestāde dara,
Procesi - KĀ uzdevums tiek izpildīts,
Funkcijas - AR KĀDIEM konkrētiem darbiem, lomām un atbildībām process tiek nodrošināts.",,https://www.figma.com/make/7Oqlkka2Op8EYVvXR9jH1T/Interactive-Process-Register-Prototype?t=hsltd28PE9z26tvT-20&fullscreen=1,Procesu reģistra pamatskats ,,,,,,,,,,,,,,,
Pamatdarbības procesi (P),P6,Klientu iesniegumu un konsultāciju pārvaldība ,,P4.2. Izvērtēšana,,,Galaproduktu veidu katalogs'!A20,,,,,,,,,,,,,
Pamatdarbības procesi (P),P7,Klientu iesniegumu un konsultāciju pārvaldība ,,P4.3. Atbilde,,,Galaproduktu veidu katalogs'!A21,,,,,,,,,,,,,
Pamatdarbības procesi (P),P8,Klientu iesniegumu un konsultāciju pārvaldība ,,P4.4. Informēšana,,,Galaproduktu veidu katalogs'!A22,,,,,,,,,,,,,
Vadības procesi (V),A2,Stratēģijas un procesu/pakalpojumu vadība,,A.1.1. Stratēģijas izstrāde ,,,Galaproduktu veidu katalogs'!A24,,,,,,,,,,,,,
Vadības procesi (V),A3,Stratēģijas un procesu/pakalpojumu vadība,,A1.2. KPI noteikšana,,,Galaproduktu veidu katalogs'!A25,,,,,,,,,,,,,
Vadības procesi (V),A4,Stratēģijas un procesu/pakalpojumu vadība,,A1.3. Uzraudzība,,,Galaproduktu veidu katalogs'!A26,,,,,,,,,,,,,
Vadības procesi (V),A5,Stratēģijas un procesu/pakalpojumu vadība,,A1.4. Uzlabošana,,,Galaproduktu veidu katalogs'!A27,,,,,,,,,,,,,
Vadības procesi (V),A3,Personāla un finanšu resursu vadība ,,A2.1. Plānošana,,,Galaproduktu veidu katalogs'!A29,,,,,,,,,,,,,
Vadības procesi (V),A4,Personāla un finanšu resursu vadība ,,A2.2. Uzskaite,,,Galaproduktu veidu katalogs'!A30,,,,,,,,,,,,,
Vadības procesi (V),A5,Personāla un finanšu resursu vadība ,,A2.3. Attīstība,,,Galaproduktu veidu katalogs'!A31,,,,,,,,,,,,,
Vadības procesi (V),A6,Personāla un finanšu resursu vadība ,,A.2.4. Kontrole,,,Galaproduktu veidu katalogs'!A32,,,,,,,,,,,,,
Atbalsta procesi (A),A4,"IT attīstība, uzturēšana un datu pārvaldība ",,A3.1. Prasību analīze,,,Galaproduktu veidu katalogs'!A34,,,,,,,,,,,,,
Atbalsta procesi (A),A5,"IT attīstība, uzturēšana un datu pārvaldība ",,A3.2. Izstrāde,,,Galaproduktu veidu katalogs'!A35,,,,,,,,,,,,,
Atbalsta procesi (A),A6,"IT attīstība, uzturēšana un datu pārvaldība ",,A3.3.Uzturēšana,,,Galaproduktu veidu katalogs'!A36,,,,,,,,,,,,,
Atbalsta procesi (A),A7,"IT attīstība, uzturēšana un datu pārvaldība ",,A3.4. Datu kvalitāte,,,Galaproduktu veidu katalogs'!A37,,,,,,,,,,,,,
Vadības procesi (V),A5,"Risku, kvalitātes un atbilstības vadība",,A3.1. Prasību analīze,,,Galaproduktu veidu katalogs'!A39,,,,,,,,,,,,,
Vadības procesi (V),A6,"Risku, kvalitātes un atbilstības vadība",,A3.2. Izstrāde,,,Galaproduktu veidu katalogs'!A40,,,,,,,,,,,,,
Vadības procesi (V),A7,"Risku, kvalitātes un atbilstības vadība",,A3.3.Uzturēšana,,,Galaproduktu veidu katalogs'!A41,,,,,,,,,,,,,
Vadības procesi (V),A8,"Risku, kvalitātes un atbilstības vadība",,A3.4. Datu kvalitāte,,,Galaproduktu veidu katalogs'!A42,,,,,,,,,,,,,
Atbalsta procesi (A),A6,"Normatīvo aktu, dokumentu un izmaiņu pārvadība ",,A5.1. Izstrāde ,,,Galaproduktu veidu katalogs'!A44,,,,,,,,,,,,,
Atbalsta procesi (A),A7,"Normatīvo aktu, dokumentu un izmaiņu pārvadība ",,A5.2. Saskaņošana,,,Galaproduktu veidu katalogs'!A45,,,,,,,,,,,,,
Atbalsta procesi (A),A8,"Normatīvo aktu, dokumentu un izmaiņu pārvadība ",,A5.3. Apstiprināšana,,,Galaproduktu veidu katalogs'!A46,,,,,,,,,,,,,
Atbalsta procesi (A),A9,"Normatīvo aktu, dokumentu un izmaiņu pārvadība ",,A5.4. Publicēšana,,,Galaproduktu veidu katalogs'!A47,,,,,,,,,,,,,
Atbalsta procesi (A),A10,"Normatīvo aktu, dokumentu un izmaiņu pārvadība ",,A5.5.Aktualizācija,,,Galaproduktu veidu katalogs'!A48,,,,,,,,,,,,,
,,,,,,,Galaproduktu veidu katalogs'!A49,,,,,,,,,,,,,
